,MLSFCDC,VIAT_NM,x,y,gu,dong
5618,숙박시설,대양장모텔,127.00606641206247,37.565077711854826,중구,광희동
5619,숙박시설,힐타운모텔,127.00660078674021,37.56499627017317,중구,광희동
5620,서비스산업,KB국민은행(청계),126.99970767343777,37.56966239573643,종로구,종로1.2.3.4가동
5621,숙박시설,센트럴관광호텔,126.99289624330034,37.56884419347976,종로구,종로1.2.3.4가동
5622,서비스산업,국민은행(청계3가지점),126.9943623752168,37.56823676649093,중구,을지로동
5623,서비스산업,우리은행(을지로지점),126.99229445011551,37.566693473796796,중구,을지로동
5624,숙박시설,모노호텔,126.9884598600117,37.56886745141757,종로구,종로1.2.3.4가동
5625,보건시설,한마음약국,126.9888969532474,37.56453287752369,중구,을지로동
5626,보건시설,정성약국,127.02159748495542,37.575147499021924,종로구,숭인2동
5627,숙박시설,동미여관,127.020812542782,37.575380471563754,종로구,숭인2동
5628,보건시설,덕생당한의원,127.01845789062838,37.594329137057,성북구,동선동
5629,숙박시설,쌍림모텔,127.01811147622573,37.59260053420849,성북구,동선동
5630,서비스산업,MG새마을금고(신당황학),127.0193976918803,37.56820768483388,중구,황학동
5631,보건시설,구천당한의원,127.01959705065649,37.57253904461633,종로구,숭인2동
5632,문화/예술시설,한양도성박물관,127.00854246903823,37.572874882902305,종로구,종로5.6가동
5633,숙박시설,더안빌딩더안호스텔,126.99094729658596,37.57392185385418,종로구,종로1.2.3.4가동
5634,숙박시설,티모텔,126.99067366316525,37.571111143245524,종로구,종로1.2.3.4가동
5635,숙박시설,알리앙스모텔,126.99019809468024,37.57130020648002,종로구,종로1.2.3.4가동
5636,지방행정기관,"종로1.2.3.4가동주민센터,부리소리도서관",126.99024499134644,37.57449712574243,종로구,종로1.2.3.4가동
5637,숙박시설,새화호스텔,126.99032397566616,37.574733442080735,종로구,종로1.2.3.4가동
5638,서비스산업,씨티은행본점,126.98017805256063,37.56855445700135,중구,명동
5639,보건시설,바른손치과의원,126.97913026279883,37.57417910462429,종로구,종로1.2.3.4가동
5640,문화/예술시설,대한민국역사박물관,126.97796438361334,37.57393222839046,종로구,종로1.2.3.4가동
5641,서비스산업,대림빌딩우리은행수송동대림금융센터,126.97900616709589,37.57351012751489,종로구,종로1.2.3.4가동
5642,지방행정기관,종로구청,126.97904406170474,37.57313429773326,종로구,종로1.2.3.4가동
5643,숙박시설,경주여관,126.99292914454995,37.56754838558453,중구,을지로동
5644,숙박시설,옥천여관,126.99293351005035,37.567425053792434,중구,을지로동
5645,숙박시설,GS호텔,126.99198427674487,37.56895357106975,종로구,종로1.2.3.4가동
5646,보건시설,수상빌딩다나한의원,127.00652403661552,37.57186200928532,종로구,종로5.6가동
5647,보건시설,성철제치과의원,126.99356914901321,37.57017969775153,종로구,종로1.2.3.4가동
5648,서비스산업,삼보귀금속도매상가,126.99347328755549,37.57094288569494,종로구,종로1.2.3.4가동
5649,서비스산업,MG새마을금고종로3.4가,126.9932240268256,37.570170115273285,종로구,종로1.2.3.4가동
5650,보건시설,태정빌딩이선우성형외과,126.99236328458517,37.57013092629454,종로구,종로1.2.3.4가동
5651,서비스산업,우리귀금속도매상가,126.99258670326533,37.57074690426732,종로구,종로1.2.3.4가동
5652,보건시설,우주연한의원,126.99241519511092,37.57073974216419,종로구,종로1.2.3.4가동
5653,서비스산업,대광빌딩대광귀금속상가,126.99316772603805,37.57091954117937,종로구,종로1.2.3.4가동
5654,문화/예술시설,담소안갤러리,126.98531738534501,37.583629355995896,종로구,가회동
5655,보건시설,대광한의원,127.02192372700142,37.575993991568666,종로구,숭인2동
5656,숙박시설,진흥여관,127.02077889721554,37.57515570892732,종로구,숭인2동
5657,서비스산업,종로숭인새마을금고,127.02189254471833,37.57724269947193,종로구,숭인2동
5658,서비스산업,도희빌딩MG새마을금고안암동.삼익지점,127.02476619950141,37.58061384766587,성북구,안암동
5659,보건시설,조선치과,126.92130126207066,37.61935972599755,은평구,불광2동
5660,서비스산업,하나은행연신내역지점,126.9223570490523,37.61897089615876,은평구,불광1동
5661,보건시설,연세하늘치과의원,126.9222832915499,37.61823189246011,은평구,불광1동
5662,보건시설,문치과병원,126.92375323583309,37.61613566436042,은평구,대조동
5663,보건시설,그린미소마취통증의학과의원,126.92272380549674,37.617059164117094,은평구,대조동
5664,보건시설,닥터윤24시동물병원,126.92321175513622,37.61657028033429,은평구,대조동
5665,서비스산업,삼성생명보험(주)불광동사옥,126.9226303233275,37.61810450401658,은평구,불광1동
5666,보건시설,대덕타워정한의원,126.92153820093836,37.61769588408255,은평구,대조동
5667,서비스산업,삼성생명보험(주)불광동사옥주차타워,126.92284404399444,37.61799529908936,은평구,불광1동
5668,보건시설,홍선생치과의원,126.92035858436839,37.61925508567364,은평구,갈현1동
5669,숙박시설,향운여관,126.92241264908726,37.61955482157044,은평구,불광2동
5670,보건시설,경희다솜한의원,126.921247903712,37.619428144350366,은평구,불광2동
5671,보건시설,한마음치과,126.92325195897888,37.617219892795376,은평구,불광1동
